Time,Heat value
10/11/21 5:00,2380.217
10/11/21 5:05,2343.3357
10/11/21 5:10,2294.2537
10/11/21 5:15,2237.8645
10/11/21 5:20,2189.5469
10/11/21 5:25,2201.943
10/11/21 5:30,2221.3901
10/11/21 5:35,2238.862
10/11/21 5:40,2260.8474
10/11/21 5:45,2282.1482
10/11/21 5:50,2299.6567
10/11/21 5:55,2325.0842
10/11/21 6:00,2351.929
10/11/21 6:05,2378.8008
10/11/21 6:10,2398.489
10/11/21 6:15,2414.2068
10/11/21 6:20,2432.92
10/11/21 6:25,2450.0642
10/11/21 6:30,2463.552
10/11/21 6:35,2470.586
10/11/21 6:40,2479.388
10/11/21 6:45,2490.6804
10/11/21 6:50,2630.0913
10/11/21 6:55,2560.3662
10/11/21 7:00,2490.3264
10/11/21 7:05,2429.955
10/11/21 7:10,2378.1863
10/11/21 7:15,2324.9968
10/11/21 7:20,2274.2034
10/11/21 7:25,2306.1592
10/11/21 7:30,2405.8027
10/11/21 7:35,2356.167
10/11/21 7:40,2304.0884
10/11/21 7:45,2254.8486
10/11/21 7:50,2203.1826
10/11/21 7:55,2214.188
10/11/21 8:00,2220.577
10/11/21 8:05,2224.4197
10/11/21 8:10,2226.8035
10/11/21 8:15,2265.727
10/11/21 8:20,2332.535
10/11/21 8:25,2381.3235
10/11/21 8:30,2398.382
10/11/21 8:35,2388.9907
10/11/21 8:40,2381.3608
10/11/21 8:45,2370.1482
10/11/21 8:50,2358.7083
10/11/21 8:55,2346.8733
10/11/21 9:00,2351.082
10/11/21 9:05,2412.6877
10/11/21 9:10,2470.3718
10/11/21 9:15,2526.1328
10/11/21 9:20,2528.0383
10/11/21 9:25,2487.976
10/11/21 9:30,2426.1729
10/11/21 9:35,2361.2307
10/11/21 9:40,2327.0457
10/11/21 9:45,2330.82
10/11/21 9:50,2327.0015
10/11/21 9:55,2297.076
10/11/21 10:00,2298.7185
10/11/21 10:05,2309.3967
10/11/21 10:10,2321.986
10/11/21 10:15,2346.654
